"nom","matchs","dob","pob","city","no","decade","first_selection","last_selection","premiere_selection","derniere_selection","points","url","birth_info","first","last","lat","long"
"Christian Labit",17,"1971-02-11","Lézignan-Corbières (France)","Lézignan-Corbières",863,1990-01-01,1999-04-10,2003-11-20,"le 10 avril 1999 contre l'Écosse","le 20 novembre 2003 contre la Nouvelle-Zélande",0,"https://fr.wikipedia.org//wiki/Christian_Labit","Naissance	11 février 1971
à Lézignan-Corbières (France)	","10 avril 1999","20 novembre 2003",43.2008841,2.7574981
"Christophe Laussucq",4,"1973-05-20","Bordeaux (France)","Bordeaux",864,1990-01-01,1999-04-10,2000-03-19,"le 10 avril 1999 contre l'Écosse","le 19 mars 2000 contre l'Irlande",5,"https://fr.wikipedia.org//wiki/Christophe_Laussucq","Naissance	20 mai 1973
à Bordeaux (France)	","10 avril 1999","19 mars 2000",44.841225,-0.5800364
"Jean-Luc Aqua",3,"1968-03-03","Aubagne","Aubagne",865,1990-01-01,1999-06-03,1999-06-26,"le 3 juin 1999 contre la Roumanie","le 26 juin 1999 contre la Nouvelle-Zélande",0,"https://fr.wikipedia.org//wiki/Jean-Luc_Aqua","Naissance	
3 mars 1968 
Aubagne","3 juin 1999","26 juin 1999",43.2924385,5.5703031
"Guillaume Delmotte",2,"1977-10-25","Fréjus (Var) (France)","Fréjus",866,1990-01-01,1999-06-03,1999-06-16,"le 3 juin 1999 contre la Roumanie","le 16 juin 1999 contre les Tonga",10,"https://fr.wikipedia.org//wiki/Guillaume_Delmotte","Naissance	25 octobre 1977
à Fréjus (Var) (France)	","3 juin 1999","16 juin 1999",43.4330308,6.7360182
"Lionel Mallier",5,"1974-03-06","Grenoble (France)","Grenoble",867,1990-01-01,1999-06-03,2000-04-01,"le 3 juin 1999 contre la Roumanie","le 1er avril 2000 contre l'Italie",5,"https://fr.wikipedia.org//wiki/Lionel_Mallier","Naissance	6 mars 1974
à Grenoble (France)	","3 juin 1999","1er avril 2000",45.1875602,5.7357819
"Olivier Sarraméa",4,"1975-10-20","Tarbes (France)","Tarbes",868,1990-01-01,1999-06-03,1999-06-26,"le 3 juin 1999 contre la Roumanie","le 26 juin 1999 contre la Nouvelle-Zélande",10,"https://fr.wikipedia.org//wiki/Olivier_Sarram%C3%A9a","Naissance	20 octobre 1975
à Tarbes (France)	","3 juin 1999","26 juin 1999",43.232858,0.0781021
"Gérald Merceron",32,"1973-02-25","Cognac (Charente)","Cognac",869,1990-01-01,1999-06-03,2003-11-20,"le 3 juin 1999 contre la Roumanie","le 20 novembre 2003 contre la Nouvelle-Zélande",267,"https://fr.wikipedia.org//wiki/G%C3%A9rald_Merceron","Naissance	25 février 1973
à Cognac (Charente)	","3 juin 1999","20 novembre 2003",45.6931647,-0.3250175
"Éric Artiguste",1,"1970-07-16","Lourdes (France)","Lourdes",870,1990-01-01,1999-06-12,1999-06-12,"le 12 juin 1999 contre les Samoa","le 12 juin 1999 contre les Samoa",5,"https://fr.wikipedia.org//wiki/%C3%89ric_Artiguste","Naissance	16 juillet 1970
à Lourdes (France)	","12 juin 1999","12 juin 1999",43.0940904,-0.0464975
"Alexandre Chazalet",1,"1972-03-13","Valence (France)","Valence",871,1990-01-01,1999-06-16,1999-06-16,"le 16 juin 1999 contre les Tonga","le 16 juin 1999 contre les Tonga",0,"https://fr.wikipedia.org//wiki/Alexandre_Chazalet","Naissance	
13 mars 1972 
Valence","16 juin 1999","16 juin 1999",44.9332277,4.8920811
"David Gérard",1,"1977-11-26","Toulon (France)","Toulon",872,1990-01-01,1999-06-16,1999-06-16,"le 16 juin 1999 contre les Tonga","le 16 juin 1999 contre les Tonga",0,"https://fr.wikipedia.org//wiki/David_G%C3%A9rard","Naissance	26 novembre 1977
à Toulon (France)	","16 juin 1999","16 juin 1999",43.1257311,5.9304919
"Stéphane Castaignède",7,"1969-09-30","Mont-de-Marsan","Mont-de-Marsan",873,1990-01-01,1999-08-28,1999-11-06,"le 28 août 1999 contre le pays de Galles","le 6 novembre 1999 contre l'Australie",0,"https://fr.wikipedia.org//wiki/St%C3%A9phane_Castaign%C3%A8de","Naissance	30 septembre 1969
à Mont-de-Marsan	","28 août 1999","6 novembre 1999",43.8911318,-0.500972
"Pieter de Villiers",69,"1972-07-03","Malmesbury (Afrique du Sud)","Malmesbury",874,1990-01-01,1999-08-28,2007-10-13,"le 28 août 1999 contre le pays de Galles","le 13 octobre 2007 contre l'Angleterre",10,"https://fr.wikipedia.org//wiki/Pieter_de_Villiers","Naissance	3 juillet 1972
à Malmesbury (Afrique du Sud)	","28 août 1999","13 octobre 2007",-33.460278,18.723611
"Cédric Desbrosse",2,"1971-11-09","Sainte-Foy-lès-Lyon (France)","Sainte-Foy-lès-Lyon",875,1990-01-01,1999-10-08,2000-03-19,"le 8 octobre 1999 contre la Namibie","le 19 mars 2000 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/C%C3%A9dric_Desbrosse","Naissance	9 novembre 1971
à Sainte-Foy-lès-Lyon (France)	","8 octobre 1999","19 mars 2000",45.7362255,4.7934767
"Legi Matiu",2,"1969-01-17","Auckland (Nouvelle-Zélande)","Auckland",876,2000-01-01,2000-02-05,2000-02-19,"le 5 février 2000 contre le pays de Galles","le 19 février 2000 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Legi_Matiu","Naissance	17 janvier 1969
à Auckland (Nouvelle-Zélande)	","5 février 2000","19 février 2000",-36.5412811,174.550610491441
"Sébastien Chabal",62,"1977-12-08","Valence (France)","Valence",877,2000-01-01,2000-03-04,2011-03-12,"le 4 mars 2000 contre l'Écosse","le 12 mars 2011 contre l'Angleterre",30,"https://fr.wikipedia.org//wiki/S%C3%A9bastien_Chabal","Naissance	8 décembre 1977
à Valence (France)	","4 mars 2000","12 mars 2011",44.9332277,4.8920811
"Jean Daudé",1,"1973-10-20","Nîmes (Gard, France)","Nîmes",878,2000-01-01,2000-03-04,2000-03-04,"le 4 mars 2000 contre l'Écosse","le 4 mars 2000 contre l'Écosse",0,"https://fr.wikipedia.org//wiki/Jean_Daud%C3%A9","Naissance	20 octobre 1973
à Nîmes (Gard, France)	","4 mars 2000","4 mars 2000",43.8374249,4.3600687
"Jean-Baptiste Élissalde",35,"1977-11-23","La Rochelle (France)","La Rochelle",879,2000-01-01,2000-03-04,2008-11-15,"le 4 mars 2000 contre l'Écosse","le 15 novembre 2008 contre les Pacific Islanders",214,"https://fr.wikipedia.org//wiki/Jean-Baptiste_%C3%89lissalde","Naissance	23 novembre 1977
à La Rochelle (France)	","4 mars 2000","15 novembre 2008",46.1591126,-1.1520434
"David Bory",18,"1976-03-08","Vichy (France)","Vichy",880,2000-01-01,2000-03-19,2003-11-20,"le 19 mars 2000 contre l'Irlande","le 20 novembre 2003 contre la Nouvelle-Zélande",10,"https://fr.wikipedia.org//wiki/David_Bory","Naissance	8 mars 1976
à Vichy (France)	","19 mars 2000","20 novembre 2003",46.1239268,3.4203712
"Franck Belot",1,"1972-03-18","Athis-Mons (France)","Athis-Mons",881,2000-01-01,2000-03-19,2000-03-19,"le 19 mars 2000 contre l'Irlande","le 19 mars 2000 contre l'Irlande",0,"https://fr.wikipedia.org//wiki/Franck_Belot","Naissance	18 mars 1972
à Athis-Mons (France)	","19 mars 2000","19 mars 2000",48.7079028,2.3890941
"Cédric Heymans",59,"1978-07-20","Brive-la-Gaillarde (France)","Brive-la-Gaillarde",882,2000-01-01,2000-04-01,2011-10-08,"le 1er avril 2000 contre l'Italie","le 8 octobre 2011 contre l'Angleterre",80,"https://fr.wikipedia.org//wiki/C%C3%A9dric_Heymans","Naissance	20 juillet 1978
à Brive-la-Gaillarde (France)	","1er avril 2000","8 octobre 2011",45.1584982,1.5332389
"Alexandre Audebert",2,"1977-08-04","Suresnes (France)","Suresnes",883,2000-01-01,2000-05-28,2002-02-16,"le 28 mai 2000 contre la Roumanie","le 16 février 2002 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Alexandre_Audebert","Naissance	4 août 1977
à Suresnes (France)	","28 mai 2000","16 février 2002",48.8709053,2.2255727
"Frédéric Cermeno",1,"1979-06-20","Perpignan","Perpignan",884,2000-01-01,2000-05-28,2000-05-28,"le 28 mai 2000 contre la Roumanie","le 28 mai 2000 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Fr%C3%A9d%C3%A9ric_Cermeno","Naissance	
20 juin 1979 
Perpignan","28 mai 2000","28 mai 2000",42.6985304,2.8953121
"Patrice Collazo",1,"1974-04-27","La Seyne-sur-Mer (France)","La Seyne-sur-Mer",885,2000-01-01,2000-05-28,2000-05-28,"le 28 mai 2000 contre la Roumanie","le 28 mai 2000 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Patrice_Collazo","Naissance	27 avril 1974
à La Seyne-sur-Mer (France)	","28 mai 2000","28 mai 2000",43.1007714,5.8788948
"Fabrice Lalanne",1,"1971-02-09",NA,NA,886,2000-01-01,2000-05-28,2000-05-28,"le 28 mai 2000 contre la Roumanie","le 28 mai 2000 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Fabrice_Lalanne","Naissance	9 février 1971	","28 mai 2000","28 mai 2000",NA,NA
"Lionel Nallet",74,"1976-09-14","Bourg-en-Bresse (France)","Bourg-en-Bresse",887,2000-01-01,2000-05-28,2012-03-11,"le 28 mai 2000 contre la Roumanie","le 11 mars 2012 contre l'Angleterre",45,"https://fr.wikipedia.org//wiki/Lionel_Nallet","Naissance	14 septembre 1976
à Bourg-en-Bresse (France)	","28 mai 2000","11 mars 2012",46.2051192,5.2250324
"Jean-Marc Souverbie",1,"1975-04-09","Pau","Pau",888,2000-01-01,2000-05-28,2000-05-28,"le 28 mai 2000 contre la Roumanie","le 28 mai 2000 contre la Roumanie",5,"https://fr.wikipedia.org//wiki/Jean-Marc_Souverbie","Naissance	
9 avril 1975 
Pau","28 mai 2000","28 mai 2000",43.2957547,-0.3685668
"Jean-Charles Cistacq",1,"1974-07-22","Auch (France)","Auch",889,2000-01-01,2000-05-28,2000-05-28,"le 28 mai 2000 contre la Roumanie","le 28 mai 2000 contre la Roumanie",0,"https://fr.wikipedia.org//wiki/Jean-Charles_Cistacq","Naissance	22 juillet 1974
à Auch (France)	","28 mai 2000","28 mai 2000",43.6463558,0.5850507
"Alessio Galasso",2,"1974-05-29","Dakar (Sénégal)","Dakar",890,2000-01-01,2000-05-28,2001-04-07,"le 28 mai 2000 contre la Roumanie","le 7 avril 2001 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Alessio_Galasso","Naissance	29 mai 1974
à Dakar (Sénégal)	","28 mai 2000","7 avril 2001",14.693425,-17.447938
"Olivier Milloud",50,"1975-12-09","Saint-Vallier (France)","Saint-Vallier",891,2000-01-01,2000-05-28,2007-10-13,"le 28 mai 2000 contre la Roumanie","le 13 octobre 2007 contre l'Angleterre",5,"https://fr.wikipedia.org//wiki/Olivier_Milloud","Naissance	9 décembre 1975
à Saint-Vallier (France)	","28 mai 2000","13 octobre 2007",48.2788193,6.3151506
"Fabrice Landreau",4,"1968-08-01","Angoulême (France)","Angoulême",892,2000-01-01,2000-11-04,2001-04-07,"le 4 novembre 2000 contre l'Australie","le 7 avril 2001 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Fabrice_Landreau","Naissance	1er août 1968
à Angoulême (France)	","4 novembre 2000","7 avril 2001",45.6484505,0.1561947
"Mathieu Dourthe",1,"1976-07-22","Dax (France)","Dax",893,2000-01-01,2000-11-18,2000-11-18,"le 18 novembre 2000 contre la Nouvelle-Zélande","le 18 novembre 2000 contre la Nouvelle-Zélande",0,"https://fr.wikipedia.org//wiki/Mathieu_Dourthe","Naissance	22 juillet 1976
à Dax (France)	","18 novembre 2000","18 novembre 2000",43.7084065,-1.0518771
"Sébastien Bonetti",3,"1977-09-22","Bergerac (France)","Bergerac",894,2000-01-01,2001-03-03,2001-06-30,"le 3 mars 2001 contre l'Italie","le 30 juin 2001 contre la Nouvelle-Zélande",10,"https://fr.wikipedia.org//wiki/S%C3%A9bastien_Bonetti","Naissance	22 septembre 1977
à Bergerac (France)	","3 mars 2001","30 juin 2001",44.8534568,0.487531
"Christophe Milhères",1,"1972-01-03","Bayonne (France)","Bayonne",895,2000-01-01,2001-04-07,2001-04-07,"le 7 avril 2001 contre l'Angleterre","le 7 avril 2001 contre l'Angleterre",0,"https://fr.wikipedia.org//wiki/Christophe_Milh%C3%A8res","Naissance	3 janvier 1972
à Bayonne (France)	","7 avril 2001","7 avril 2001",43.4945144,-1.4736657
"Yannick Jauzion",73,"1978-07-28","Castres (France)","Castres",896,2000-01-01,2001-06-16,2011-03-12,"le 16 juin 2001 contre l'Afrique du Sud","le 12 mars 2011 contre l'Italie",103,"https://fr.wikipedia.org//wiki/Yannick_Jauzion","Naissance	28 juillet 1978
à Castres (France)	","16 juin 2001","12 mars 2011",49.8044444,3.2383333
"Nicolas Jeanjean",9,"1981-05-13","Montpellier (France)","Montpellier",897,2000-01-01,2001-06-16,2002-06-22,"le 16 juin 2001 contre l'Afrique du Sud","le 22 juin 2002 contre l'Australie",10,"https://fr.wikipedia.org//wiki/Nicolas_Jeanjean","Naissance	13 mai 1981
à Montpellier (France)	","16 juin 2001","22 juin 2002",43.6112422,3.8767337
"Patrick Tabacco",18,"1974-03-23","Toulouse (France)","Toulouse",898,2000-01-01,2001-06-16,2005-02-05,"le 16 juin 2001 contre l'Afrique du Sud","le 5 février 2005 contre l'Écosse",5,"https://fr.wikipedia.org//wiki/Patrick_Tabacco","Naissance	23 mars 1974
à Toulouse (France)	","16 juin 2001","5 février 2005",43.6044622,1.4442469
"Elvis Vermeulen",10,"1979-04-05","Senlis (France)","Senlis",899,2000-01-01,2001-06-16,2008-03-15,"le 16 juin 2001 contre l'Afrique du Sud","le 15 mars 2008 contre le pays de Galles",5,"https://fr.wikipedia.org//wiki/Elvis_Vermeulen","Naissance	5 avril 1979
à Senlis (France)	","16 juin 2001","15 mars 2008",50.5331612,2.1523287
"Jean Bouilhou",2,"1978-12-07","Pau (France)","Pau",900,2000-01-01,2001-06-30,2003-06-14,"le 30 juin 2001 contre la Nouvelle-Zélande","le 14 juin 2003 contre l'Argentine",0,"https://fr.wikipedia.org//wiki/Jean_Bouilhou","Naissance	7 décembre 1978
à Pau (France)	","30 juin 2001","14 juin 2003",43.2957547,-0.3685668
"Pépito Elhorga",18,"1978-01-06","Agboville (Côte d'Ivoire)","Agboville",901,2000-01-01,2001-06-30,2008-06-28,"le 30 juin 2001 contre la Nouvelle-Zélande","le 28 juin 2008 contre l'Australie",15,"https://fr.wikipedia.org//wiki/P%C3%A9pito_Elhorga","Naissance	6 janvier 1978
à Agboville (Côte d'Ivoire)	","30 juin 2001","28 juin 2008",5.931283,-4.2106525
"David Skrela",23,"1979-03-02","Toulouse (France)","Toulouse",902,2000-01-01,2001-06-30,2011-09-10,"le 30 juin 2001 contre la Nouvelle-Zélande","le 10 septembre 2011 contre le Japon",112,"https://fr.wikipedia.org//wiki/David_Skrela","Naissance	2 mars 1979
à Toulouse (France)	","30 juin 2001","10 septembre 2011",43.6044622,1.4442469
"François Gelez",8,"1979-01-15","Bayonne (France)","Bayonne",903,2000-01-01,2001-11-10,2003-03-08,"le 10 novembre 2001 contre l'Afrique du Sud","le 8 mars 2003 contre l'Irlande",81,"https://fr.wikipedia.org//wiki/Fran%C3%A7ois_Gelez","Naissance	15 janvier 1979
à Bayonne (France)	","10 novembre 2001","8 mars 2003",43.4945144,-1.4736657
"Tony Marsh",21,"1972-08-12","Rotorua (Nouvelle-Zélande)","Rotorua",904,2000-01-01,2001-11-10,2004-11-27,"le 10 novembre 2001 contre l'Afrique du Sud","le 27 novembre 2004 contre la Nouvelle-Zélande",35,"https://fr.wikipedia.org//wiki/Tony_Marsh_(rugby)","Naissance	12 août 1972
à Rotorua (Nouvelle-Zélande)	","10 novembre 2001","27 novembre 2004",-38.1381493,176.252922
"Francis Ntamack",1,"1972-11-15","Lyon (France)","Lyon",905,2000-01-01,2001-11-10,2001-11-10,"le 10 novembre 2001 contre l'Afrique du Sud","le 10 novembre 2001 contre l'Afrique du Sud",0,"https://fr.wikipedia.org//wiki/Francis_Ntamack","Naissance	15 novembre 1972
à Lyon (France)	","10 novembre 2001","10 novembre 2001",45.7578137,4.8320114
"Clément Poitrenaud",47,"1982-05-20","Castres (France)","Castres",906,2000-01-01,2001-11-10,2012-03-17,"le 10 novembre 2001 contre l'Afrique du Sud","le 17 mars 2012 contre le pays de Galles",35,"https://fr.wikipedia.org//wiki/Cl%C3%A9ment_Poitrenaud","Naissance	20 mai 1982
à Castres (France)	","10 novembre 2001","17 mars 2012",49.8044444,3.2383333
"Thibaut Privat",10,"1979-02-06","Nîmes (France)","Nîmes",907,2000-01-01,2001-11-10,2005-07-02,"le 10 novembre 2001 contre l'Afrique du Sud","le 2 juillet 2005 contre l'Australie",0,"https://fr.wikipedia.org//wiki/Thibaut_Privat","Naissance	6 février 1979
à Nîmes (France)	","10 novembre 2001","2 juillet 2005",43.8374249,4.3600687
"Aurélien Rougerie",76,"1980-09-26","Beaumont (France)","Beaumont",908,2000-01-01,2001-11-10,2012-03-17,"le 10 novembre 2001 contre l'Afrique du Sud","le 17 mars 2012 contre le pays de Galles",115,"https://fr.wikipedia.org//wiki/Aur%C3%A9lien_Rougerie","Naissance	26 septembre 1980
à Beaumont (France)	","10 novembre 2001","17 mars 2012",50.0839627,2.6567465
"Damien Traille",86,"1979-06-12","Pau (France)","Pau",909,2000-01-01,2001-11-10,2011-10-23,"le 10 novembre 2001 contre l'Afrique du Sud","le 23 octobre 2011 contre la Nouvelle-Zélande",124,"https://fr.wikipedia.org//wiki/Damien_Traille","Naissance	12 juin 1979
à Pau (France)	","10 novembre 2001","23 octobre 2011",43.2957547,-0.3685668
"Frédéric Michalak",77,"1982-10-16","Toulouse (France)","Toulouse",910,2000-01-01,2001-11-10,2015-10-17,"le 10 novembre 2001 contre l'Afrique du Sud","le 17 octobre 2015 contre la Nouvelle-Zélande",436,"https://fr.wikipedia.org//wiki/Fr%C3%A9d%C3%A9ric_Michalak","Naissance	16 octobre 1982
à Toulouse (France)	","10 novembre 2001","17 octobre 2015",43.6044622,1.4442469
"Yannick Bru",18,"1973-05-22","Auch (France)","Auch",911,2000-01-01,2001-11-17,2004-03-27,"le 17 novembre 2001 contre l'Australie","le 27 mars 2004 contre l'Angleterre",5,"https://fr.wikipedia.org//wiki/Yannick_Bru","Naissance	22 mai 1973
à Auch (France)	","17 novembre 2001","27 mars 2004",43.6463558,0.5850507
"Jean-Baptiste Poux",42,"1979-09-26","Béziers (France)","Béziers",912,2000-01-01,2001-11-24,2012-03-17,"le 24 novembre 2001 contre les Fidji","le 17 mars 2012 contre le pays de Galles",15,"https://fr.wikipedia.org//wiki/Jean-Baptiste_Poux","Naissance	26 septembre 1979
à Béziers (France)	","24 novembre 2001","17 mars 2012",43.3426562,3.2131307
"Steven Hall",2,"1972-09-17","Johannesburg (Afrique du Sud)","Johannesburg",913,2000-01-01,2002-02-02,2002-02-16,"le 2 février 2002 contre l'Italie","le 16 février 2002 contre le pays de Galles",0,"https://fr.wikipedia.org//wiki/Steven_Hall","Naissance	17 septembre 1972
à Johannesburg (Afrique du Sud)	","2 février 2002","16 février 2002",-26.205,28.049722
"Alexandre Albouy",1,"1979-05-26","Castres (France)","Castres",914,2000-01-01,2002-02-02,2002-02-02,"le 2 février 2002 contre l'Italie","le 2 février 2002 contre l'Italie",0,"https://fr.wikipedia.org//wiki/Alexandre_Albouy","Naissance	26 mai 1979
à Castres (France)	","2 février 2002","2 février 2002",49.8044444,3.2383333
"Imanol Harinordoquy",82,"1980-02-20","Bayonne (France)","Bayonne",915,2000-01-01,2002-02-16,2012-03-17,"le 16 février 2002 contre le pays de Galles","le 17 mars 2012 contre le pays de Galles",65,"https://fr.wikipedia.org//wiki/Imanol_Harinordoquy","Naissance	20 février 1980
à Bayonne (France)	","16 février 2002","17 mars 2012",43.4945144,-1.4736657
"Sébastien Bruno",26,"1974-08-26","Nîmes (France)","Nîmes",916,2000-01-01,2002-02-16,2008-07-05,"le 16 février 2002 contre le pays de Galles","le 5 juillet 2008 contre l'Australie",20,"https://fr.wikipedia.org//wiki/S%C3%A9bastien_Bruno","Naissance	26 août 1974
à Nîmes (France)	","16 février 2002","5 juillet 2008",43.8374249,4.3600687
"Rémy Martin",23,"1979-08-10","Aubenas (France)","Aubenas",917,2000-01-01,2002-03-02,2009-06-27,"le 2 mars 2002 contre l’Angleterre","le 27 juin 2009 contre l'Australie",15,"https://fr.wikipedia.org//wiki/R%C3%A9my_Martin_(rugby_%C3%A0_XV)","Naissance	10 août 1979
à Aubenas (France)	","2 mars 2002","27 juin 2009",44.6205476,4.3902399
"Christophe Porcu",3,"1971-05-05","Mauvezin (France)","Mauvezin",918,2000-01-01,2002-06-15,2002-06-29,"le 15 juin 2002 contre l'Argentine","le 29 juin 2002 contre l'Australie",0,"https://fr.wikipedia.org//wiki/Christophe_Porcu","Naissance	5 mai 1971
à Mauvezin (France)	","15 juin 2002","29 juin 2002",43.3849761,0.9293955
"Arnaud Martinez",2,"1976-02-24","Narbonne","Narbonne",919,2000-01-01,2002-06-22,2004-07-10,"le 22 juin 2002 contre l'Australie","le 10 juillet 2004 contre le Canada",0,"https://fr.wikipedia.org//wiki/Arnaud_Martinez","Naissance	
24 février 1976 
Narbonne","22 juin 2002","10 juillet 2004",43.1837757,3.0041906
"Vincent Clerc",67,"1981-05-07","Échirolles (France)","Échirolles",920,2000-01-01,2002-11-09,2013-03-16,"le 9 novembre 2002 contre l'Afrique du Sud","le 16 mars 2013 contre l'Écosse",170,"https://fr.wikipedia.org//wiki/Vincent_Clerc","Naissance	7 mai 1981
à Échirolles (France)	","9 novembre 2002","16 mars 2013",45.1437,5.71927
"Jean-Baptiste Rué",8,"1974-07-06","Boulogne-Billancourt (France)","Boulogne-Billancourt",921,2000-01-01,2002-11-09,2003-06-20,"le 9 novembre 2002 contre l'Afrique du Sud","le 20 juin 2003 contre l'Argentine",0,"https://fr.wikipedia.org//wiki/Jean-Baptiste_Ru%C3%A9","Naissance	6 juillet 1974
à Boulogne-Billancourt (France)	","9 novembre 2002","20 juin 2003",48.8356649,2.240206
"Dimitri Yachvili",61,"1980-09-19","Brive-la-Gaillarde (France)","Brive-la-Gaillarde",922,2000-01-01,2002-11-23,2012-03-17,"le 23 novembre 2002 contre le Canada","le 17 mars 2012 contre le pays de Galles",373,"https://fr.wikipedia.org//wiki/Dimitri_Yachvili","Naissance	19 septembre 1980
à Brive-la-Gaillarde (France)	","23 novembre 2002","17 mars 2012",45.1584982,1.5332389
"Jérôme Thion",54,"1977-12-02","Senlis (France)","Senlis",923,2000-01-01,2003-06-14,2011-03-12,"le 14 juin 2003 contre l'Argentine","le 12 mars 2011 contre l'Italie",5,"https://fr.wikipedia.org//wiki/J%C3%A9r%C3%B4me_Thion","Naissance	2 décembre 1977
à Senlis (France)	","14 juin 2003","12 mars 2011",50.5331612,2.1523287
"Nicolas Mas",85,"1980-05-23","Perpignan (France)","Perpignan",924,2000-01-01,2003-06-28,2015-10-17,"le 28 juin 2003 contre la Nouvelle-Zélande","le 17 octobre 2015 contre la Nouvelle-Zélande",5,"https://fr.wikipedia.org//wiki/Nicolas_Mas","Naissance	23 mai 1980
à Perpignan (France)	","28 juin 2003","17 octobre 2015",42.6985304,2.8953121
"Brian Liebenberg",12,"1979-09-19","Benoni (Afrique du Sud)","Benoni",925,2000-01-01,2003-08-22,2005-02-13,"le 22 août 2003 contre la Roumanie","le 13 février 2005 contre l'Angleterre",25,"https://fr.wikipedia.org//wiki/Brian_Liebenberg","Naissance	19 septembre 1979
à Benoni (Afrique du Sud)	","22 août 2003","13 février 2005",-26.1930356,28.3082376
"Pascal Papé",65,"1980-10-05","Lyon (France)","Lyon",926,2000-01-01,2004-02-14,2015-10-17,"le 14 février 2004 contre l’Irlande","le 17 octobre 2015 contre la Nouvelle-Zélande",25,"https://fr.wikipedia.org//wiki/Pascal_Pap%C3%A9","Naissance	5 octobre 1980
à Lyon (France)	","14 février 2004","17 octobre 2015",45.7578137,4.8320114
"William Servat",49,"1978-02-09","Saint-Gaudens (France)","Saint-Gaudens",927,2000-01-01,2004-02-14,2012-03-17,"le 14 février 2004 contre l'Irlande","le 17 mars 2012 contre le pays de Galles",10,"https://fr.wikipedia.org//wiki/William_Servat","Naissance	9 février 1978
à Saint-Gaudens (France)	","14 février 2004","17 mars 2012",43.1077682,0.7247218
"Julien Peyrelongue",6,"1981-04-02","Bayonne (France)","Bayonne",928,2000-01-01,2004-02-21,2004-11-27,"le 21 février 2004 contre l'Italie","le 27 novembre 2004 contre la Nouvelle-Zélande",3,"https://fr.wikipedia.org//wiki/Julien_Peyrelongue","Naissance	2 avril 1981
à Bayonne (France)	","21 février 2004","27 novembre 2004",43.4945144,-1.4736657
"Julien Bonnaire",75,"1978-09-20","Bourgoin-Jallieu (France)","Bourgoin-Jallieu",929,2000-01-01,2004-03-21,2012-03-17,"le 21 mars 2004 contre l'Écosse","le 17 mars 2012 contre le pays de Galles",30,"https://fr.wikipedia.org//wiki/Julien_Bonnaire","Naissance	20 septembre 1978
à Bourgoin-Jallieu (France)	","21 mars 2004","17 mars 2012",45.5872259,5.2828123
"Mathieu Barrau",3,"1977-09-03","Beaumont-de-Lomagne (France)","Beaumont-de-Lomagne",930,2000-01-01,2004-07-03,2004-11-27,"le 3 juillet 2004 contre les États-Unis","le 27 novembre 2004 contre la Nouvelle-Zélande",5,"https://fr.wikipedia.org//wiki/Mathieu_Barrau","Naissance	3 septembre 1977
à Beaumont-de-Lomagne (France)	","3 juillet 2004","27 novembre 2004",43.8817933,0.9875923
"David Couzinet",3,"1975-06-07","Toulouse (France)","Toulouse",931,2000-01-01,2004-07-03,2008-06-28,"le 3 juillet 2004 contre les États-Unis","le 28 juin 2008 contre l'Australie",0,"https://fr.wikipedia.org//wiki/David_Couzinet","Naissance	7 juin 1975
à Toulouse (France)	","3 juillet 2004","28 juin 2008",43.6044622,1.4442469
"Yannick Nyanga",46,"1983-12-19","Kinshasa (Zaïre)","Kinshasa",932,2000-01-01,2004-07-03,2015-10-17,"le 3 juillet 2004 contre les États-Unis","le 17 octobre 2015 contre la Nouvelle-Zélande",30,"https://fr.wikipedia.org//wiki/Yannick_Nyanga","Naissance	19 décembre 1983
à Kinshasa (Zaïre)	","3 juillet 2004","17 octobre 2015",-4.3217055,15.3125974
"Alexandre Péclier",2,"1975-01-26","Villefranche-sur-Saône (France)","Villefranche-sur-Saône",933,2000-01-01,2004-07-03,2004-07-10,"le 3 juillet 2004 contre les États-Unis","le 10 juillet 2004 contre le Canada",33,"https://fr.wikipedia.org//wiki/Alexandre_P%C3%A9clier","Naissance	26 janvier 1975
à Villefranche-sur-Saône (France)	","3 juillet 2004","10 juillet 2004",45.9864749,4.726611
"Ludovic Valbon",5,"1976-05-22","Neuilly-sur-Seine (France)","Neuilly-sur-Seine",934,2000-01-01,2004-07-03,2007-06-05,"le 3 juillet 2004 contre les États-Unis","le 5 juin 2007 contre la Nouvelle-Zélande",5,"https://fr.wikipedia.org//wiki/Ludovic_Valbon","Naissance	22 mai 1976
à Neuilly-sur-Seine (France)	","3 juillet 2004","5 juin 2007",48.884683,2.2695658
"Romain Froment",1,"1977-05-26","Clamart (France)","Clamart",935,2000-01-01,2004-07-03,2004-07-03,"le 3 juillet 2004 contre les États-Unis","le 3 juillet 2004 contre les États-Unis",0,"https://fr.wikipedia.org//wiki/Romain_Froment","Naissance	26 mai 1977
à Clamart (France)	","3 juillet 2004","3 juillet 2004",48.8003835,2.2630238
